City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
157,ketchikan,55.3422,-131.6461,285.56,62,75,6.69,US,1717020375,12.410000000000025
158,sihanoukville,10.6093,103.5296,303.67,75,100,4.8,KH,1717020124,30.52000000000004
159,wingham,43.8879,-81.3114,288.67,57,65,5.66,CA,1717020174,15.520000000000039
160,aldan,58.6031,125.3894,286.58,53,1,1.52,RU,1717020377,13.430000000000007
161,thinadhoo,0.5333,72.9333,302.31,76,95,6.92,MV,1717020145,29.160000000000025
162,recani,31.2846,-4.2688,303.7,9,23,3.91,MA,1717020378,30.55000000000001
163,shiqian,27.5225,108.2281,290.05,99,100,1.18,CN,1717020379,16.900000000000034
164,cartagena del chaira,1.3349,-74.8429,294.74,98,97,2.28,CO,1717020379,21.590000000000032
165,st. john's,47.5649,-52.7093,283.81,96,100,10.8,CA,1717020201,10.660000000000025
166,kharp,66.8014,65.8081,267.99,90,100,3.14,RU,1717020380,-5.159999999999968
167,alaghsas,17.0187,8.0168,302.48,40,44,3.7,NE,1717020381,29.33000000000004
168,island harbour,50.724,-1.2758,287.55,72,3,1.34,GB,1717020381,14.400000000000034
169,buka,40.8108,69.1986,291.48,38,6,0.95,UZ,1717020382,18.33000000000004
170,suva,-18.1416,178.4415,296.86,100,75,3.09,FJ,1717020102,23.710000000000036
171,kenora,49.8167,-94.4337,293.69,45,20,3.6,CA,1717020165,20.54000000000002
172,nogliki,51.8333,143.1667,277.23,94,100,9.83,RU,1717020361,4.080000000000041
173,chonchi,-42.6128,-73.8092,281.71,91,77,1.55,CL,1717020384,8.560000000000002
174,taltal,-25.4,-70.4833,288.9,85,32,2.52,CL,1717020385,15.75
175,kavieng,-2.5744,150.7967,301.44,77,100,4.1,PG,1717020385,28.29000000000002
176,fort mcmurray,56.7268,-111.381,289.92,63,100,8.75,CA,1717020386,16.77000000000004
177,leshan,29.5623,103.7639,291.17,82,100,2.85,CN,1717020386,18.02000000000004
178,uturoa,-16.7333,-151.4333,300.6,78,29,5.92,PF,1717020387,27.450000000000045
179,bhimunipatnam,17.8833,83.4333,302.91,77,100,4.7,IN,1717020387,29.760000000000048
180,maceio,-9.6658,-35.7353,297.84,88,75,2.06,BR,1717020269,24.689999999999998
181,puerto deseado,-47.7503,-65.8938,281.9,52,43,8.45,AR,1717020388,8.75
182,shimoda,34.6667,138.95,294.32,83,33,3.12,JP,1717020389,21.170000000000016
183,margaret river,-33.95,115.0667,288.34,62,98,6.63,AU,1717020389,15.189999999999998
184,darab,28.7519,54.5444,301.48,10,0,1.55,IR,1717020390,28.33000000000004
185,priargunsk,50.3691,119.1012,283.68,53,56,3.9,RU,1717020390,10.53000000000003
186,sao joao da barra,-21.6403,-41.0511,295.2,72,100,8.69,BR,1717020391,22.05000000000001
187,lihue,21.9789,-159.3672,300.73,75,40,7.2,US,1717020392,27.58000000000004
188,ugoofaaru,5.6667,73.0,301.2,86,100,9.96,MV,1717020392,28.05000000000001
189,happy valley-goose bay,53.3168,-60.3315,277.32,93,100,9.77,CA,1717020383,4.170000000000016
190,bliss corner,41.6118,-70.9384,297.73,75,0,4.63,US,1717020393,24.58000000000004
191,rongelap,11.1635,166.8941,300.82,80,69,6.58,MH,1717020394,27.670000000000016
192,tazacorte,28.629,-17.9293,293.69,87,0,6.17,ES,1717020394,20.54000000000002
193,oppdal,62.5943,9.6912,284.38,77,100,1.81,NO,1717020395,11.230000000000018
194,aykhal,66.0,111.5,289.12,59,37,2.57,RU,1717020396,15.970000000000027
195,eyl,7.9803,49.8164,300.6,72,79,11.51,SO,1717020396,27.450000000000045
196,brisas de zicatela,15.8369,-97.0419,305.04,60,4,3.61,MX,1717020397,31.890000000000043
197,kaintragarh,20.7167,84.5333,304.19,63,13,1.74,IN,1717020397,31.04000000000002
198,san patricio,28.017,-97.5169,307.68,55,57,7.62,US,1717020398,34.53000000000003
199,ola,59.5833,151.2833,284.34,31,2,7.97,RU,1717020398,11.189999999999998
200,pisco,-13.7,-76.2167,293.18,73,0,3.6,PE,1717020226,20.03000000000003
